run_id,timestamp,stress_test,Energy_Efficiency_Ratio,Throughput_Rate,Total_Processed,Total_Energy,Total_Cost,Average_Wait_Penalty,Average_Safety
ALPHA-2026-001,2026-05-04T20:43:15,Normal,0.3396,2.7792,66.7,196.2644,62.7009,0.4574,92.1072
ALPHA-2026-002,2026-05-04T20:53:30,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-003,2026-05-04T20:54:45,Storm,0.3658,2.9583,71.0,194.0816,60.5663,0.4593,92.8712
ALPHA-2026-004,2026-05-05T11:22:33,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-005,2026-05-05T11:39:41,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-006,2026-05-09T08:53:19,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-007,2026-05-10T11:43:36,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-008,2026-05-10T23:49:17,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-009,2026-05-11T09:46:07,Normal,0.3742,3.125,75.0,200.4309,61.3674,0.6286,91.6469
ALPHA-2026-010,2026-05-11T10:10:59,Storm,0.3474,3.2083,77.0,221.6764,67.8197,0.4823,93.2256
